,label
234,TRUE
235,FAKE
236,FAKE
237,FAKE
238,FAKE
239,FAKE
240,FAKE
241,TRUE
242,TRUE
243,FAKE
244,TRUE
245,FAKE
246,FAKE
247,FAKE
248,TRUE
249,TRUE
250,FAKE
251,FAKE
252,TRUE
253,TRUE
254,FAKE
255,TRUE
256,FAKE
257,TRUE
258,TRUE
259,FAKE
260,FAKE
261,FAKE
262,FAKE
263,FAKE
264,FAKE
265,FAKE
266,FAKE
267,FAKE
268,TRUE
269,TRUE
270,FAKE
271,TRUE
272,TRUE
273,FAKE
274,FAKE
275,TRUE
276,FAKE
277,FAKE
278,TRUE
279,FAKE
280,FAKE
281,TRUE
282,TRUE
283,FAKE
284,FAKE
285,TRUE
286,FAKE
287,TRUE
288,TRUE
289,FAKE
290,FAKE
291,FAKE
292,TRUE
293,FAKE
294,FAKE
295,TRUE
296,TRUE
297,FAKE
298,FAKE
299,FAKE
300,TRUE
301,FAKE
302,TRUE
303,FAKE
304,TRUE
305,TRUE
306,TRUE
307,FAKE
308,TRUE
309,TRUE
310,TRUE
311,TRUE
312,TRUE
313,TRUE
314,TRUE
315,FAKE
316,TRUE
317,TRUE
318,TRUE
319,FAKE
320,TRUE
321,TRUE
322,FAKE
323,FAKE
324,TRUE
325,TRUE
326,TRUE
327,FAKE
328,FAKE
329,FAKE
330,FAKE
331,FAKE
332,FAKE
333,FAKE
334,TRUE
335,FAKE
336,TRUE
337,FAKE
338,TRUE
339,TRUE
340,FAKE
341,TRUE
342,FAKE
343,TRUE
344,FAKE
345,FAKE
346,FAKE
347,TRUE
348,FAKE
349,TRUE
350,FAKE
351,FAKE
352,FAKE
353,FAKE
354,FAKE
355,FAKE
356,FAKE
357,TRUE
358,FAKE
359,TRUE
360,TRUE
361,TRUE
362,TRUE
363,FAKE
364,FAKE
365,FAKE
366,FAKE
367,FAKE
368,TRUE
369,TRUE
370,TRUE
371,TRUE
372,FAKE
373,TRUE
374,FAKE
375,TRUE
376,TRUE
377,FAKE
378,TRUE
379,TRUE
380,TRUE
381,FAKE
382,FAKE
383,TRUE
384,TRUE
385,FAKE
386,TRUE
387,TRUE
388,TRUE
389,FAKE
390,FAKE
391,FAKE
392,FAKE
393,TRUE
394,FAKE
395,TRUE
396,TRUE
397,TRUE
398,TRUE
399,FAKE
400,TRUE
401,FAKE
402,TRUE
403,TRUE
404,TRUE
405,FAKE
406,TRUE
407,FAKE
408,TRUE
409,TRUE
410,FAKE
411,TRUE
412,TRUE
413,FAKE
414,FAKE
415,TRUE
416,TRUE
417,TRUE
418,TRUE
419,FAKE
420,FAKE
421,FAKE
422,TRUE
423,TRUE
424,FAKE
425,TRUE
426,FAKE
427,FAKE
428,FAKE
429,FAKE
430,FAKE
431,FAKE
432,TRUE
433,FAKE
434,FAKE
435,TRUE
436,FAKE
437,TRUE
438,TRUE
439,TRUE
440,FAKE
441,TRUE
442,FAKE
443,FAKE
444,FAKE
445,TRUE
446,FAKE
447,TRUE
448,TRUE
449,TRUE
450,FAKE
451,TRUE
452,TRUE
453,FAKE
454,TRUE
455,TRUE
456,FAKE
457,FAKE
458,FAKE
459,FAKE
460,FAKE
461,FAKE
462,FAKE
463,FAKE
464,FAKE
465,TRUE
466,TRUE
467,FAKE
468,TRUE
469,FAKE
470,TRUE
471,TRUE
472,TRUE
473,TRUE
474,TRUE
475,TRUE
476,FAKE
477,FAKE
478,FAKE
479,TRUE
480,TRUE
481,TRUE
482,FAKE
483,FAKE
484,FAKE
485,TRUE
486,TRUE
487,FAKE
488,FAKE
489,FAKE
490,FAKE
491,FAKE
492,FAKE
493,FAKE
494,FAKE
495,TRUE
496,FAKE
497,FAKE
498,TRUE
499,FAKE
500,FAKE
501,FAKE
502,FAKE
503,FAKE
504,FAKE
505,FAKE
506,TRUE
507,FAKE
508,TRUE
509,FAKE
510,FAKE
511,FAKE
512,TRUE
513,FAKE
514,TRUE
515,TRUE
516,FAKE
517,FAKE
518,FAKE
519,FAKE
520,FAKE
521,FAKE
522,FAKE
523,FAKE
524,FAKE
525,TRUE
526,TRUE
527,FAKE
528,TRUE
529,FAKE
530,FAKE
531,FAKE
532,TRUE
533,TRUE
534,FAKE
535,TRUE
536,FAKE
537,TRUE
538,FAKE
539,TRUE
540,FAKE
541,TRUE
542,FAKE
543,FAKE
544,FAKE
545,TRUE
546,TRUE
547,TRUE
548,FAKE
549,TRUE
550,TRUE
551,FAKE
552,FAKE
553,FAKE
554,TRUE
555,TRUE
556,FAKE
557,TRUE
558,TRUE
559,TRUE
560,TRUE
561,FAKE
562,TRUE
563,TRUE
564,FAKE
565,TRUE
566,TRUE
567,TRUE
568,TRUE
569,FAKE
570,FAKE
571,TRUE
572,FAKE
573,TRUE
574,FAKE
575,FAKE
576,TRUE
577,TRUE
578,FAKE
579,FAKE
580,TRUE
581,FAKE
582,FAKE
583,TRUE
584,TRUE
585,FAKE
586,TRUE
587,TRUE
588,FAKE
589,TRUE
590,FAKE
591,FAKE
592,FAKE
593,TRUE
594,FAKE
595,FAKE
596,TRUE
597,FAKE
598,TRUE
599,TRUE
600,FAKE
601,FAKE
602,TRUE
603,FAKE
604,FAKE
605,TRUE
606,TRUE
607,FAKE
608,TRUE
609,FAKE
610,TRUE
611,TRUE
612,TRUE
613,TRUE
614,TRUE
615,FAKE
616,FAKE
617,TRUE
618,TRUE
619,FAKE
620,FAKE
621,FAKE
622,TRUE
623,TRUE
624,FAKE
625,FAKE
626,FAKE
627,TRUE
628,FAKE
629,TRUE
630,TRUE
631,FAKE
632,FAKE
633,FAKE
634,FAKE
635,FAKE
636,TRUE
637,TRUE
638,TRUE
639,FAKE
640,FAKE
641,FAKE
642,TRUE
643,TRUE
644,FAKE
645,FAKE
646,TRUE
647,FAKE
648,TRUE
649,TRUE
650,FAKE
651,TRUE
652,FAKE
653,FAKE
654,TRUE
655,FAKE
656,TRUE
657,TRUE
658,TRUE
659,FAKE
660,FAKE
661,TRUE
662,TRUE
663,FAKE
664,TRUE
665,TRUE
666,TRUE
667,FAKE
668,FAKE
669,TRUE
670,TRUE
671,TRUE
672,TRUE
673,TRUE
674,FAKE
675,FAKE
676,TRUE
677,TRUE
678,TRUE
679,FAKE
680,FAKE
681,FAKE
682,FAKE
683,FAKE
684,FAKE
685,TRUE
686,FAKE
687,TRUE
688,FAKE
689,TRUE
690,FAKE
691,FAKE
692,FAKE
693,TRUE
694,TRUE
695,FAKE
696,FAKE
697,TRUE
698,TRUE
699,TRUE
700,FAKE
701,TRUE
702,TRUE
703,FAKE
704,FAKE
705,TRUE
706,FAKE
707,TRUE
708,TRUE
709,FAKE
710,FAKE
711,FAKE
712,TRUE
713,TRUE
714,FAKE
715,FAKE
716,TRUE
717,FAKE
718,FAKE
719,FAKE
720,FAKE
721,TRUE
722,TRUE
723,FAKE
724,FAKE
725,FAKE
726,TRUE
727,FAKE
728,TRUE
729,FAKE
730,FAKE
731,FAKE
732,FAKE
733,FAKE
734,TRUE
735,TRUE
736,TRUE
737,TRUE
738,FAKE
739,TRUE
740,FAKE
741,FAKE
742,FAKE
743,FAKE
744,TRUE
745,FAKE
746,FAKE
747,FAKE
748,TRUE
749,TRUE
750,TRUE
751,FAKE
752,FAKE
753,TRUE
754,FAKE
755,FAKE
756,TRUE
757,FAKE
758,TRUE
759,FAKE
760,TRUE
761,FAKE
762,TRUE
763,FAKE
764,FAKE
765,TRUE
766,TRUE
767,TRUE
768,FAKE
769,FAKE
770,FAKE
771,FAKE
772,FAKE
773,FAKE
774,FAKE
775,TRUE
776,TRUE
777,FAKE
778,FAKE
779,TRUE
780,TRUE
781,TRUE
782,FAKE
783,FAKE
784,TRUE
785,TRUE
786,TRUE
787,TRUE
788,TRUE
789,FAKE
790,FAKE
791,FAKE
792,TRUE
793,FAKE
794,FAKE
795,FAKE
796,FAKE
797,FAKE
798,FAKE
799,FAKE
800,TRUE
801,FAKE
802,TRUE
803,FAKE
804,TRUE
805,TRUE
806,FAKE
807,FAKE
808,FAKE
809,FAKE
810,FAKE
811,FAKE
812,FAKE
813,FAKE
814,TRUE
815,FAKE
816,TRUE
817,TRUE
818,FAKE
819,FAKE
820,FAKE
821,FAKE
822,FAKE
823,TRUE
824,FAKE
825,TRUE
826,TRUE
827,FAKE
828,FAKE
829,FAKE
830,FAKE
831,TRUE
832,TRUE
833,TRUE
834,TRUE
835,FAKE
836,TRUE
837,TRUE
838,TRUE
839,FAKE
840,FAKE
841,TRUE
842,TRUE
843,TRUE
844,FAKE
845,FAKE
846,TRUE
847,TRUE
848,TRUE
849,TRUE
850,FAKE
851,TRUE
852,TRUE
853,FAKE
854,FAKE
855,TRUE
856,FAKE
857,TRUE
858,FAKE
859,TRUE
860,TRUE
861,FAKE
862,FAKE
863,FAKE
864,FAKE
865,FAKE
866,TRUE
867,TRUE
868,FAKE
869,TRUE
870,FAKE
871,FAKE
872,TRUE
873,FAKE
874,TRUE
875,TRUE
876,TRUE
877,TRUE
878,FAKE
879,TRUE
880,FAKE
881,FAKE
882,TRUE
883,FAKE
884,FAKE
885,FAKE
886,TRUE
887,FAKE
888,FAKE
889,FAKE
890,TRUE
891,FAKE
892,FAKE
893,FAKE
894,TRUE
895,TRUE
896,FAKE
897,TRUE
898,FAKE
899,TRUE
900,TRUE
901,FAKE
902,TRUE
903,TRUE
904,TRUE
905,FAKE
906,FAKE
907,TRUE
908,FAKE
909,TRUE
910,TRUE
911,TRUE
912,TRUE
913,TRUE
914,TRUE
915,TRUE
916,TRUE
917,TRUE
918,FAKE
919,TRUE
920,TRUE
921,FAKE
922,FAKE
923,TRUE
924,TRUE
925,FAKE
926,FAKE
927,FAKE
928,FAKE
929,TRUE
930,FAKE
931,FAKE
932,TRUE
933,FAKE
934,TRUE
935,FAKE
936,FAKE
937,TRUE
938,TRUE
939,TRUE
940,TRUE
941,FAKE
942,TRUE
943,FAKE
944,FAKE
945,TRUE
946,FAKE
947,FAKE
948,TRUE
949,TRUE
950,TRUE
951,TRUE
952,FAKE
953,FAKE
954,FAKE
955,TRUE
956,FAKE
957,TRUE
958,TRUE
959,TRUE
960,TRUE
961,TRUE
962,FAKE
963,FAKE
964,FAKE
965,FAKE
966,FAKE
967,TRUE
968,FAKE
969,TRUE
970,TRUE
971,TRUE
972,FAKE
973,TRUE
974,TRUE
975,TRUE
976,TRUE
977,FAKE
978,FAKE
979,FAKE
980,TRUE
981,TRUE
982,FAKE
983,TRUE
984,TRUE
985,FAKE
986,FAKE
987,FAKE
988,TRUE
989,TRUE
990,TRUE
991,FAKE
992,FAKE
993,FAKE
994,FAKE
995,TRUE
996,TRUE
997,FAKE
998,FAKE
999,FAKE
1000,FAKE
1001,FAKE
1002,FAKE
1003,FAKE
1004,FAKE
1005,TRUE
1006,FAKE
1007,TRUE
1008,TRUE
1009,FAKE
1010,FAKE
1011,TRUE
1012,TRUE
1013,FAKE
1014,FAKE
1015,FAKE
1016,FAKE
1017,TRUE
1018,FAKE
1019,FAKE
1020,TRUE
1021,FAKE
1022,TRUE
1023,FAKE
1024,FAKE
1025,TRUE
1026,TRUE
1027,FAKE
1028,FAKE
1029,FAKE
1030,FAKE
1031,FAKE
1032,TRUE
1033,TRUE
1034,TRUE
1035,FAKE
1036,TRUE
1037,FAKE
1038,TRUE
1039,FAKE
1040,TRUE
1041,FAKE
1042,FAKE
1043,FAKE
1044,TRUE
1045,FAKE
1046,TRUE
1047,FAKE
1048,TRUE
1049,TRUE
1050,FAKE
1051,FAKE
1052,TRUE
1053,TRUE
1054,TRUE
1055,FAKE
1056,FAKE
1057,FAKE
1058,TRUE
1059,TRUE
1060,FAKE
1061,TRUE
1062,TRUE
1063,FAKE
1064,FAKE
1065,FAKE
1066,TRUE
1067,TRUE
1068,FAKE
1069,TRUE
1070,FAKE
1071,FAKE
1072,FAKE
1073,FAKE
1074,TRUE
1075,TRUE
1076,TRUE
1077,TRUE
1078,TRUE
1079,TRUE
1080,FAKE
1081,TRUE
1082,TRUE
1083,FAKE
1084,FAKE
1085,FAKE
1086,TRUE
1087,TRUE
1088,FAKE
1089,TRUE
1090,FAKE
1091,FAKE
1092,FAKE
1093,TRUE
1094,FAKE
1095,TRUE
1096,TRUE
1097,FAKE
1098,TRUE
1099,FAKE
1100,FAKE
1101,FAKE
1102,FAKE
1103,TRUE
1104,TRUE
1105,FAKE
1106,FAKE
1107,TRUE
1108,TRUE
1109,TRUE
1110,TRUE
1111,TRUE
1112,TRUE
1113,FAKE
1114,FAKE
1115,TRUE
1116,TRUE
1117,TRUE
1118,FAKE
1119,FAKE
1120,FAKE
1121,TRUE
1122,FAKE
1123,FAKE
1124,FAKE
1125,FAKE
1126,FAKE
1127,TRUE
1128,FAKE
1129,TRUE
1130,FAKE
1131,TRUE
1132,FAKE
1133,FAKE
1134,TRUE
1135,TRUE
1136,TRUE
1137,TRUE
1138,TRUE
1139,TRUE
1140,FAKE
1141,FAKE
1142,FAKE
1143,FAKE
1144,FAKE
1145,FAKE
1146,TRUE
1147,TRUE
1148,FAKE
1149,TRUE
1150,FAKE
1151,FAKE
1152,TRUE
1153,FAKE
1154,TRUE
1155,TRUE
1156,FAKE
1157,FAKE
1158,TRUE
1159,FAKE
1160,TRUE
1161,FAKE
1162,FAKE
1163,TRUE
1164,FAKE
1165,FAKE
1166,TRUE
1167,FAKE
1168,FAKE
1169,TRUE
1170,FAKE
1171,TRUE
1172,TRUE
1173,TRUE
1174,TRUE
1175,FAKE
1176,FAKE
1177,TRUE
1178,FAKE
1179,TRUE
1180,TRUE
1181,TRUE
1182,FAKE
1183,TRUE
1184,TRUE
1185,FAKE
1186,TRUE
1187,FAKE
1188,TRUE
1189,TRUE
1190,FAKE
1191,FAKE
1192,FAKE
1193,TRUE
1194,TRUE
1195,FAKE
1196,TRUE
1197,FAKE
1198,FAKE
1199,TRUE
1200,FAKE
1201,TRUE
1202,TRUE
1203,TRUE
1204,FAKE
1205,TRUE
1206,FAKE
1207,FAKE
1208,FAKE
1209,TRUE
1210,TRUE
1211,FAKE
1212,FAKE
1213,TRUE
1214,FAKE
1215,TRUE
1216,TRUE
1217,FAKE
1218,FAKE
1219,TRUE
1220,TRUE
1221,FAKE
1222,FAKE
1223,TRUE
1224,FAKE
1225,FAKE
1226,TRUE
1227,FAKE
1228,FAKE
1229,TRUE
1230,FAKE
1231,FAKE
1232,TRUE
1233,FAKE
1234,FAKE
1235,FAKE
1236,TRUE
1237,FAKE
1238,FAKE
1239,FAKE
1240,TRUE
1241,FAKE
1242,FAKE
1243,TRUE
1244,TRUE
1245,FAKE
1246,FAKE
1247,FAKE
1248,FAKE
1249,TRUE
1250,FAKE
1251,FAKE
1252,FAKE
1253,TRUE
1254,TRUE
1255,FAKE
1256,FAKE
1257,TRUE
1258,FAKE
1259,TRUE
1260,TRUE
1261,FAKE
1262,TRUE
1263,FAKE
1264,TRUE
1265,FAKE
1266,TRUE
1267,TRUE
1268,FAKE
1269,FAKE
1270,TRUE
1271,TRUE
1272,TRUE
1273,FAKE
1274,TRUE
1275,FAKE
1276,TRUE
1277,TRUE
1278,TRUE
1279,TRUE
1280,FAKE
1281,TRUE
1282,TRUE
1283,TRUE
1284,TRUE
1285,FAKE
1286,FAKE
1287,FAKE
1288,TRUE
1289,FAKE
1290,FAKE
1291,FAKE
1292,FAKE
1293,FAKE
1294,FAKE
1295,TRUE
1296,FAKE
1297,FAKE
1298,TRUE
1299,TRUE
1300,TRUE
1301,TRUE
1302,TRUE
1303,TRUE
1304,FAKE
1305,TRUE
1306,FAKE
1307,FAKE
1308,FAKE
1309,FAKE
1310,FAKE
1311,FAKE
1312,FAKE
1313,TRUE
1314,TRUE
1315,TRUE
1316,TRUE
1317,FAKE
1318,TRUE
1319,FAKE
1320,TRUE
1321,FAKE
1322,FAKE
1323,FAKE
1324,FAKE
1325,FAKE
1326,FAKE
1327,TRUE
1328,FAKE
1329,TRUE
1330,FAKE
1331,FAKE
1332,FAKE
1333,FAKE
1334,FAKE
1335,FAKE
1336,TRUE
1337,FAKE
1338,TRUE
1339,TRUE
1340,FAKE
1341,FAKE
1342,FAKE
1343,FAKE
1344,FAKE
1345,FAKE
1346,TRUE
1347,TRUE
1348,TRUE
1349,TRUE
1350,TRUE
1351,FAKE
1352,TRUE
1353,TRUE
1354,FAKE
1355,FAKE
1356,TRUE
1357,TRUE
1358,TRUE
1359,FAKE
1360,FAKE
1361,FAKE
1362,TRUE
1363,TRUE
1364,FAKE
1365,FAKE
1366,TRUE
1367,TRUE
1368,FAKE
1369,TRUE
1370,TRUE
1371,TRUE
1372,FAKE
1373,FAKE
1374,TRUE
1375,TRUE
1376,TRUE
1377,TRUE
1378,TRUE
1379,FAKE
1380,TRUE
1381,TRUE
1382,FAKE
1383,TRUE
1384,FAKE
1385,FAKE
1386,FAKE
1387,TRUE
1388,TRUE
1389,FAKE
1390,FAKE
1391,TRUE
1392,TRUE
1393,TRUE
1394,FAKE
1395,TRUE
1396,TRUE
1397,FAKE
1398,TRUE
1399,TRUE
1400,TRUE
1401,TRUE
1402,FAKE
1403,TRUE
1404,TRUE
1405,FAKE
1406,FAKE
1407,TRUE
1408,FAKE
1409,FAKE
1410,TRUE
1411,TRUE
1412,TRUE
1413,FAKE
1414,FAKE
1415,TRUE
1416,TRUE
1417,TRUE
1418,TRUE
1419,FAKE
1420,FAKE
1421,TRUE
1422,FAKE
1423,FAKE
1424,TRUE
1425,TRUE
1426,TRUE
1427,FAKE
1428,TRUE
1429,TRUE
1430,FAKE
1431,TRUE
1432,FAKE
1433,FAKE
1434,TRUE
1435,TRUE
1436,FAKE
1437,TRUE
1438,FAKE
1439,FAKE
1440,TRUE
1441,FAKE
1442,TRUE
1443,FAKE
1444,TRUE
1445,FAKE
1446,FAKE
1447,TRUE
1448,TRUE
1449,TRUE
1450,FAKE
1451,FAKE
1452,FAKE
1453,FAKE
1454,FAKE
1455,TRUE
1456,FAKE
1457,TRUE
1458,TRUE
1459,FAKE
1460,TRUE
1461,TRUE
1462,FAKE
1463,TRUE
1464,FAKE
1465,TRUE
1466,TRUE
1467,FAKE
1468,TRUE
1469,TRUE
1470,TRUE
1471,TRUE
1472,FAKE
1473,TRUE
1474,FAKE
1475,FAKE
1476,TRUE
1477,TRUE
1478,TRUE
1479,FAKE
1480,TRUE
1481,FAKE
1482,FAKE
1483,FAKE
1484,TRUE
1485,TRUE
1486,TRUE
1487,FAKE
1488,FAKE
1489,TRUE
1490,FAKE
1491,TRUE
1492,TRUE
1493,FAKE
1494,TRUE
1495,TRUE
1496,TRUE
1497,FAKE
1498,FAKE
1499,TRUE
1500,FAKE
1501,TRUE
1502,TRUE
1503,FAKE
1504,TRUE
1505,FAKE
1506,TRUE
1507,TRUE
1508,TRUE
1509,TRUE
1510,FAKE
1511,TRUE
1512,FAKE
1513,TRUE
1514,FAKE
1515,FAKE
1516,TRUE
1517,TRUE
1518,TRUE
1519,FAKE
1520,TRUE
1521,TRUE
1522,FAKE
1523,FAKE
1524,TRUE
1525,FAKE
1526,FAKE
1527,TRUE
1528,TRUE
1529,TRUE
1530,FAKE
1531,FAKE
1532,TRUE
1533,TRUE
1534,TRUE
1535,TRUE
1536,TRUE
1537,TRUE
1538,FAKE
1539,FAKE
1540,FAKE
1541,FAKE
1542,TRUE
1543,TRUE
1544,FAKE
1545,TRUE
1546,TRUE
1547,TRUE
1548,TRUE
1549,TRUE
1550,TRUE
1551,FAKE
1552,FAKE
1553,FAKE
1554,FAKE
1555,FAKE
1556,TRUE
1557,FAKE
1558,FAKE
1559,FAKE
1560,TRUE
1561,TRUE
1562,FAKE
1563,TRUE
1564,TRUE
1565,TRUE
1566,FAKE
1567,FAKE
1568,FAKE
1569,FAKE
1570,FAKE
1571,TRUE
1572,TRUE
1573,TRUE
1574,TRUE
1575,FAKE
1576,FAKE
1577,FAKE
1578,FAKE
1579,TRUE
1580,TRUE
1581,TRUE
1582,FAKE
1583,FAKE
1584,FAKE
1585,FAKE
1586,TRUE
1587,FAKE
1588,FAKE
1589,TRUE
1590,TRUE
1591,FAKE
1592,TRUE
1593,TRUE
1594,FAKE
1595,TRUE
1596,TRUE
1597,TRUE
1598,TRUE
1599,FAKE
1600,FAKE
1601,TRUE
1602,TRUE
1603,TRUE
1604,FAKE
1605,FAKE
1606,FAKE
1607,FAKE
1608,FAKE
1609,TRUE
1610,FAKE
1611,FAKE
1612,TRUE
1613,TRUE
1614,FAKE
1615,TRUE
1616,FAKE
1617,TRUE
1618,FAKE
1619,TRUE
1620,TRUE
1621,FAKE
1622,FAKE
1623,TRUE
1624,TRUE
1625,TRUE
1626,TRUE
1627,FAKE
1628,FAKE
1629,TRUE
1630,TRUE
1631,TRUE
1632,FAKE
1633,TRUE
1634,TRUE
1635,FAKE
1636,FAKE
1637,TRUE
1638,TRUE
1639,TRUE
1640,FAKE
1641,FAKE
1642,TRUE
1643,TRUE
1644,FAKE
1645,TRUE
1646,TRUE
1647,TRUE
1648,FAKE
1649,FAKE
1650,FAKE
1651,TRUE
1652,TRUE
1653,TRUE
1654,FAKE
1655,TRUE
1656,TRUE
1657,FAKE
1658,FAKE
1659,TRUE
1660,FAKE
1661,TRUE
1662,FAKE
1663,FAKE
1664,TRUE
1665,TRUE
1666,TRUE
1667,TRUE
1668,TRUE
1669,FAKE
1670,FAKE
1671,FAKE
1672,TRUE
1673,TRUE
1674,FAKE
1675,FAKE
1676,TRUE
1677,TRUE
1678,TRUE
1679,TRUE
1680,FAKE
1681,FAKE
1682,FAKE
1683,FAKE
1684,FAKE
1685,TRUE
1686,FAKE
1687,FAKE
1688,FAKE
1689,FAKE
1690,FAKE
1691,TRUE
1692,TRUE
1693,TRUE
1694,TRUE
1695,FAKE
1696,FAKE
1697,FAKE
1698,FAKE
1699,FAKE
1700,TRUE
1701,FAKE
1702,FAKE
1703,TRUE
1704,TRUE
1705,TRUE
1706,FAKE
1707,FAKE
1708,TRUE
1709,FAKE
1710,TRUE
1711,TRUE
1712,FAKE
1713,FAKE
1714,TRUE
1715,TRUE
1716,FAKE
1717,FAKE
1718,TRUE
1719,TRUE
1720,TRUE
1721,TRUE
1722,TRUE
1723,TRUE
1724,FAKE
1725,FAKE
1726,TRUE
1727,FAKE
1728,FAKE
1729,FAKE
1730,TRUE
1731,TRUE
1732,FAKE
1733,TRUE
1734,TRUE
1735,TRUE
1736,FAKE
1737,FAKE
1738,FAKE
1739,FAKE
1740,FAKE
1741,FAKE
1742,FAKE
1743,FAKE
1744,TRUE
1745,FAKE
1746,TRUE
1747,FAKE
1748,TRUE
1749,FAKE
1750,FAKE
1751,TRUE
1752,TRUE
1753,FAKE
1754,TRUE
1755,FAKE
1756,TRUE
1757,FAKE
1758,TRUE
1759,TRUE
1760,TRUE
1761,FAKE
1762,TRUE
1763,FAKE
1764,TRUE
1765,FAKE
1766,TRUE
1767,FAKE
1768,TRUE
1769,TRUE
1770,FAKE
1771,FAKE
1772,FAKE
1773,FAKE
1774,FAKE
1775,TRUE
1776,TRUE
1777,FAKE
1778,FAKE
1779,FAKE
1780,TRUE
1781,TRUE
1782,TRUE
1783,FAKE
1784,TRUE
1785,FAKE
1786,FAKE
1787,TRUE
1788,FAKE
1789,TRUE
1790,FAKE
1791,TRUE
1792,FAKE
1793,FAKE
1794,TRUE
1795,TRUE
1796,FAKE
1797,TRUE
1798,TRUE
1799,TRUE
1800,FAKE
1801,FAKE
1802,TRUE
1803,TRUE
1804,FAKE
1805,FAKE
1806,TRUE
1807,TRUE
1808,FAKE
1809,FAKE
1810,TRUE
1811,FAKE
1812,FAKE
1813,TRUE
1814,TRUE
1815,TRUE
1816,FAKE
1817,TRUE
1818,FAKE
1819,FAKE
1820,TRUE
1821,FAKE
1822,FAKE
1823,FAKE
1824,FAKE
1825,FAKE
1826,TRUE
1827,FAKE
1828,TRUE
1829,FAKE
1830,FAKE
1831,TRUE
1832,TRUE
1833,FAKE
1834,FAKE
1835,FAKE
1836,TRUE
1837,TRUE
1838,FAKE
1839,FAKE
1840,TRUE
1841,FAKE
1842,TRUE
1843,FAKE
1844,FAKE
1845,TRUE
1846,FAKE
1847,FAKE
1848,FAKE
1849,FAKE
1850,FAKE
1851,FAKE
1852,TRUE
1853,FAKE
1854,FAKE
1855,FAKE
1856,TRUE
1857,TRUE
1858,TRUE
1859,TRUE
1860,FAKE
1861,FAKE
1862,TRUE
1863,TRUE
1864,TRUE
1865,FAKE
1866,FAKE
1867,TRUE
1868,FAKE
1869,FAKE
1870,FAKE
1871,TRUE
1872,TRUE
1873,FAKE
